Hostname,Rule ID,Severity,Result
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_ip_forward,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_package_nftables_installed,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_service_nftables_enabled,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_service_nftables_disabled,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_nftables_ensure_default_deny_policy,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_nftables_rules_permanent,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_set_nftables_base_chain,medium,notchecked
wrkr224,xccdf_org.ssgproject.content_rule_set_nftables_loopback_traffic,medium,notchecked
wrkr224,xccdf_org.ssgproject.content_rule_set_nftables_table,medium,notchecked
wrkr224,xccdf_org.ssgproject.content_rule_package_ufw_installed,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_package_ufw_removed,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_service_ufw_enabled,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_check_ufw_active,medium,notchecked
wrkr224,xccdf_org.ssgproject.content_rule_set_ufw_default_rule,medium,notchecked
wrkr224,xccdf_org.ssgproject.content_rule_set_ufw_loopback_traffic,medium,notchecked
wrkr224,xccdf_org.ssgproject.content_rule_ufw_only_required_services,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_ufw_rate_limit,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_ufw_rules_for_open_ports,medium,notchecked
wrkr224,xccdf_org.ssgproject.content_rule_kernel_module_dccp_disabled,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_kernel_module_rds_disabled,low,notselected
wrkr224,xccdf_org.ssgproject.content_rule_kernel_module_sctp_disabled,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_kernel_module_tipc_disabled,low,notselected
wrkr224,xccdf_org.ssgproject.content_rule_service_bluetooth_disabled,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_wireless_disable_interfaces,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_only_allow_dod_certs,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_dir_perms_world_writable_sticky_bits,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_file_permissions_unauthorized_world_writable,medium,notchecked
wrkr224,xccdf_org.ssgproject.content_rule_file_permissions_ungroupowned,medium,notchecked
wrkr224,xccdf_org.ssgproject.content_rule_file_permissions_var_log_stig,medium,notselected
