Hostname,Rule ID,Severity,Result
wrkr324,xccdf_org.ssgproject.content_rule_ip6tables_rules_for_open_ports,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_iptables_rules_for_open_ports,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_set_iptables_default_rule,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_accept_ra,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_accept_redirects,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_accept_source_route,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_forwarding,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_default_accept_ra,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_default_accept_redirects,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_default_accept_source_route,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_accept_redirects,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_accept_source_route,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_log_martians,unknown,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_rp_filter,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_secure_redirects,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_accept_redirects,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_accept_source_route,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_log_martians,unknown,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_rp_filter,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_secure_redirects,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_icmp_echo_ignore_broadcasts,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_icmp_ignore_bogus_error_responses,unknown,pass
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_tcp_syncookies,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_send_redirects,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_send_redirects,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_ip_forward,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_package_nftables_installed,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_service_nftables_enabled,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_service_nftables_disabled,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_nftables_ensure_default_deny_policy,medium,notapplicable
